2025-09-22 09:25:22,230 INFO    MainThread:687177 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-09-22 09:25:22,231 INFO    MainThread:687177 [wandb_setup.py:_flush():80] Configure stats pid to 687177
2025-09-22 09:25:22,231 INFO    MainThread:687177 [wandb_setup.py:_flush():80] Loading settings from /home/aiotlab/.config/wandb/settings
2025-09-22 09:25:22,231 INFO    MainThread:687177 [wandb_setup.py:_flush():80] Loading settings from /mnt/disk1/aiotlab/hieupc/New_CBraMod/BIOT/wandb/settings
2025-09-22 09:25:22,231 INFO    MainThread:687177 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-09-22 09:25:22,231 INFO    MainThread:687177 [wandb_init.py:setup_run_log_directory():703] Logging user logs to ./wandb/run-20250922_092522-eoqzwhit/logs/debug.log
2025-09-22 09:25:22,231 INFO    MainThread:687177 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to ./wandb/run-20250922_092522-eoqzwhit/logs/debug-internal.log
2025-09-22 09:25:22,231 INFO    MainThread:687177 [wandb_init.py:init():830] calling init triggers
2025-09-22 09:25:22,231 INFO    MainThread:687177 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-09-22 09:25:22,231 INFO    MainThread:687177 [wandb_init.py:init():871] starting backend
2025-09-22 09:25:22,446 INFO    MainThread:687177 [wandb_init.py:init():874] sending inform_init request
2025-09-22 09:25:22,451 INFO    MainThread:687177 [wandb_init.py:init():882] backend started and connected
2025-09-22 09:25:22,453 INFO    MainThread:687177 [wandb_init.py:init():953] updated telemetry
2025-09-22 09:25:22,458 INFO    MainThread:687177 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-09-22 09:25:23,593 INFO    MainThread:687177 [wandb_init.py:init():1029] starting run threads in backend
2025-09-22 09:25:23,942 INFO    MainThread:687177 [wandb_run.py:_console_start():2458] atexit reg
2025-09-22 09:25:23,942 INFO    MainThread:687177 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-09-22 09:25:23,942 INFO    MainThread:687177 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-09-22 09:25:23,942 INFO    MainThread:687177 [wandb_run.py:_redirect():2398] Redirects installed.
2025-09-22 09:25:23,945 INFO    MainThread:687177 [wandb_init.py:init():1075] run started, returning control to user process
2025-09-22 09:25:29,372 INFO    MsgRouterThr:687177 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
